"Source title","CiteScore","Keywords","2020-23 Citations","2020-23 Documents","% Cited","SNIP","SJR","Publisher"
"Journal of Cybersecurity and Privacy","5.3","77.0%
31/133
Computer Science (miscellaneous)","642","122","72","2.013","N/A","Multidisciplinary Digital Publishing Institute (MDPI)"
"Applied Artificial Intelligence","5.2","68.0%
249/797
Electrical and Electronic Engineering","2340","447","77","0.989","0.598","Taylor & Francis"
"Intelligent Medicine","5.2","73.0%
104/398
Medicine (miscellaneous)","349","67","75","1.191","0.674","Chinese Medical Association"
"Frontiers in Big Data","5.2","75.0%
33/133
Computer Science (miscellaneous)","2033","394","68","1.067","0.686","Frontiers Media S.A."
"Frontiers in Neurorobotics","5.2","58.0%
126/303
Biomedical Engineering","3968","765","70","0.938","0.676","Frontiers Media S.A."
"CCF Transactions on Pervasive Computing and Interaction","5.1","62.0%
147/395
Computer Networks and Communications","539","105","76","0.927","0.69","Springer Nature"
"Intelligence-Based Medicine","5","73.0%
107/398
Medicine (miscellaneous)","396","79","61","1.255","0.773","Elsevier"
"Artificial Intelligence in the Life Sciences","5","54.0%
161/350
Artificial Intelligence","358","72","79","0.961","N/A","Elsevier"
"Spatial Information Research","5","79.0%
172/821
Geography, Planning and Development","1286","258","78","0.885","0.484","Korean Spatial Information Society"
"Neural Processing Letters","4.9","60.0%
155/395
Computer Networks and Communications","6578","1343","69","0.987","0.692","Springer Nature"
"Kybernetes","4.9","90.0%
58/604
Social Sciences (miscellaneous)","3547","717","82","0.972","0.571","Emerald Publishing"
"ACM Transactions on Evolutionary Learning and Optimization","4.9","76.0%
42/176
Computational Theory and Mathematics","214","44","66","1.194","N/A","Association for Computing Machinery"
"BenchCouncil Transactions on Benchmarks, Standards and Evaluations","4.8","66.0%
150/443
Business and International Management","254","53","62","2.515","N/A","KeAi Communications Co."
"Robotic Intelligence and Automation","4.7","67.0%
124/384
Industrial and Manufacturing Engineering","1221","262","73","0.733","0.555","Emerald Publishing"
"IEEE Transactions on Games","4.6","66.0%
109/321
Control and Systems Engineering","942","205","72","1.191","0.589","IEEE"
"Robotica","4.5","91.0%
33/399
General Mathematics","3002","673","77","0.925","0.579","Cambridge University Press"
"Theory and Practice of Logic Programming","4.5","75.0%
44/176
Computational Theory and Mathematics","420","93","87","1.734","0.95","Cambridge University Press"
"Law, Innovation and Technology","4.5","93.0%
67/1025
Law","326","72","64","N/A","0.761","Taylor & Francis"
"Journal of Soft Computing in Civil Engineering","4.5","89.0%
21/189
Architecture","506","112","82","0.677","0.439","Pouyan Press"
"Journal of Educational Data Mining","4.5","79.0%
313/1543
Education","204","45","62","1.139","0.665","International Educational Data Mining Society"
"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM","4.4","66.0%
130/384
Industrial and Manufacturing Engineering","533","122","78","0.912","0.526","Cambridge University Press"
"Journal of Physics: Complexity","4.3","58.0%
164/394
Information Systems","1002","232","70","0.975","0.674","Institute of Physics Publishing"
"Cybernetics and Systems","4.3","57.0%
166/394
Information Systems","765","180","73","0.512","0.39","Taylor & Francis"
"i-Perception","4.3","74.0%
36/137
Ophthalmology","1060","244","73","1.065","0.629","SAGE"
"Iraqi Journal for Computer Science and Mathematics","4.3","73.0%
48/176
Computational Theory and Mathematics","466","109","58","1.226","0.471","College of Education, Al-Iraqia University"
"International Journal of Artificial Intelligence","4.3","50.0%
173/350
Artificial Intelligence","364","84","57","0.402","0.362","Centre for Environment and Socio-Economic Research Publications"
"Smart Agricultural Technology","4.2","76.0%
53/221
General Agricultural and Biological Sciences","1571","371","68","1.879","0.849","Elsevier"
